Date,Open,High,Low,Close,Adj Close,Volume,selic,oil_price,exchange_rate,ipca,bovespa
2020-01-02,30.510000228881836,30.700000762939453,30.309999465942383,30.700000762939453,10.923720359802246,37774500,0.017089,67.05,4.0234,0.28,118573.0
2020-01-03,30.8799991607666,31.239999771118164,30.450000762939453,30.450000762939453,10.834766387939453,71595600,0.017089,69.08,4.0234,0.28,117707.0
2020-01-06,30.43000030517578,30.940000534057617,29.950000762939453,30.809999465942383,10.962862014770508,81844000,0.017089,70.25,4.0604,0.28,116878.0
2020-01-07,30.81999969482422,30.8799991607666,30.469999313354492,30.690000534057617,10.92016315460205,32822000,0.017089,68.74,4.0662,0.28,116662.0
2020-01-08,30.690000534057617,30.770000457763672,30.239999771118164,30.5,10.852557182312012,48215600,0.017089,67.31,4.0628,0.28,116247.0
2020-01-09,30.469999313354492,30.6200008392334,30.25,30.399999618530273,10.816974639892578,36102700,0.017089,66.58,4.0921,0.28,115947.0
2020-01-10,30.389999389648438,30.440000534057617,30.1299991607666,30.270000457763672,10.770719528198242,25397500,0.017089,66.77,4.0921,0.28,115503.0
2020-01-13,30.350000381469727,30.43000030517578,30.209999084472656,30.329999923706055,10.792065620422363,30676800,0.017089,64.14,4.1458,0.28,117325.0
2020-01-14,30.229999542236328,30.270000457763672,29.770000457763672,30.0,10.674647331237793,39796500,0.017089,64.45,4.1313,0.28,117632.0
2020-01-15,29.899999618530273,29.93000030517578,29.540000915527344,29.549999237060547,10.514527320861816,34405700,0.017089,63.29,4.1742,0.28,116414.0
2020-01-16,29.600000381469727,29.700000762939453,29.329999923706055,29.520000457763672,10.503850936889648,28997400,0.017089,64.63,4.1836,0.28,116704.0
2020-01-17,29.719999313354492,29.850000381469727,29.540000915527344,29.850000381469727,10.621273040771484,34908000,0.017089,64.05,4.1836,0.28,118478.0
2020-01-20,29.700000762939453,30.100000381469727,29.649999618530273,30.0,10.674647331237793,31241400,0.017089,64.63,4.1885,0.28,118862.0
2020-01-21,29.799999237060547,29.940000534057617,29.549999237060547,29.6200008392334,10.539433479309082,28577400,0.017089,63.66,4.2109,0.28,117026.0
2020-01-22,29.729999542236328,29.809999465942383,29.270000457763672,29.290000915527344,10.422011375427246,32491500,0.017089,62.11,4.1813,0.28,118391.0
2020-01-23,29.09000015258789,29.760000228881836,28.81999969482422,29.649999618530273,10.550108909606934,53752100,0.017089,61.26,4.1691,0.28,119528.0
2020-01-24,29.559999465942383,29.780000686645508,29.139999389648438,29.299999237060547,10.425570487976074,36898700,0.017089,59.34,4.1691,0.28,118376.0
2020-01-27,28.6299991607666,28.639999389648438,27.670000076293945,28.030000686645508,9.973677635192871,66105300,0.017089,58.54,4.2061,0.28,114482.0
2020-01-28,28.43000030517578,29.139999389648438,28.420000076293945,28.799999237060547,10.247658729553223,47259100,0.017089,59.37,4.1934,0.28,116479.0
2020-01-29,29.0,29.079999923706055,28.670000076293945,28.850000381469727,10.26545238494873,42297500,0.017089,59.46,4.2289,0.28,115385.0
2020-01-30,28.280000686645508,29.040000915527344,28.18000030517578,28.940000534057617,10.297475814819336,44266800,0.017089,57.72,4.2422,0.28,115528.0
2020-01-31,28.6299991607666,28.84000015258789,28.309999465942383,28.450000762939453,10.123124122619629,55446700,0.017089,57.77,4.2422,0.28,113761.0
2020-02-03,28.520000457763672,28.729999542236328,28.15999984741211,28.18000030517578,10.027050018310547,39452800,0.017089,54.0,4.2468,0.68,114629.0
2020-02-04,28.649999618530273,29.040000915527344,28.559999465942383,28.6299991607666,10.18717098236084,57658400,0.017089,53.9,4.2537,0.68,115557.0
2020-02-05,29.049999237060547,29.219999313354492,28.389999389648438,28.389999389648438,10.101773262023926,67994500,0.017089,55.36,4.2336,0.68,116028.0
2020-02-06,28.700000762939453,29.510000228881836,28.1200008392334,29.18000030517578,10.382872581481934,126114000,0.016137,55.18,4.2808,0.68,115190.0
2020-02-07,29.0,29.350000381469727,28.729999542236328,28.93000030517578,10.293917655944824,54514600,0.016137,54.53,4.2808,0.68,113770.0
2020-02-10,28.889999389648438,29.1299991607666,28.639999389648438,29.1299991607666,10.365080833435059,45328100,0.016137,53.39,4.32097,0.68,112570.0
2020-02-11,29.399999618530273,29.6299991607666,29.260000228881836,29.479999542236328,10.489619255065918,37518200,0.016137,54.0,4.32753,0.68,115371.0
2020-02-12,29.639999389648438,30.280000686645508,29.6299991607666,30.1299991607666,10.720903396606445,64851000,0.016137,55.54,4.3545,0.68,116674.0
2020-02-13,29.770000457763672,30.209999084472656,29.639999389648438,29.719999313354492,10.575016975402832,55277100,0.016137,56.34,4.34677,0.68,115662.0
2020-02-14,29.860000610351562,29.959999084472656,29.34000015258789,29.420000076293945,10.468270301818848,30399900,0.016137,57.37,4.34677,0.68,114381.0
2020-02-17,29.6299991607666,29.770000457763672,29.309999465942383,29.360000610351562,10.446920394897461,38684900,0.016137,57.83,4.3265,0.68,115309.0
2020-02-18,29.059999465942383,29.770000457763672,28.950000762939453,29.75,10.585691452026367,33890900,0.016137,57.35,4.3548,0.68,114977.0
2020-02-19,29.8700008392334,30.549999237060547,29.760000228881836,30.549999237060547,10.870349884033203,44181800,0.016137,59.72,4.364,0.68,116518.0
2020-02-20,30.799999237060547,30.889999389648438,29.75,29.920000076293945,10.646180152893066,73522900,0.016137,59.57,4.3923,0.68,114586.0
2020-02-21,29.510000228881836,29.68000030517578,29.030000686645508,29.139999389648438,10.368639945983887,47805100,0.016137,58.6,4.3923,0.68,113681.0
2020-02-26,27.040000915527344,27.389999389648438,26.030000686645508,26.209999084472656,9.326082229614258,89207100,0.016137,54.96,4.4491,0.68,105718.0
2020-02-27,25.719999313354492,26.530000686645508,24.889999389648438,25.299999237060547,9.00228500366211,100112100,0.016137,52.19,4.4848,0.68,102984.0
2020-02-28,25.15999984741211,25.559999465942383,24.6200008392334,25.34000015258789,9.01651668548584,89095300,0.016137,51.31,4.4848,0.68,104172.0
2020-03-02,25.5,26.75,25.479999542236328,26.530000686645508,9.439945220947266,71596400,0.016137,52.52,4.4724,-0.14,106625.0
2020-03-03,26.56999969482422,27.479999542236328,25.760000228881836,26.049999237060547,9.269152641296387,86855700,0.016137,52.24,4.5132,-0.14,105537.0
2020-03-04,26.90999984741211,26.940000534057617,26.239999771118164,26.889999389648438,9.568041801452637,42320500,0.016137,51.86,4.5834,-0.14,107224.0
2020-03-05,26.329999923706055,26.670000076293945,24.709999084472656,25.290000915527344,8.998727798461914,69722300,0.016137,51.29,4.6062,-0.14,102233.0
2020-03-06,24.100000381469727,24.1299991607666,22.549999237060547,22.829999923706055,8.123406410217285,138597600,0.016137,45.6,4.6062,-0.14,97997.0
2020-03-09,17.809999465942383,18.229999542236328,15.40999984741211,16.049999237060547,5.710935592651367,254813800,0.016137,35.33,4.7229,-0.14,86067.0
2020-03-10,18.649999618530273,18.649999618530273,16.3700008392334,17.559999465942383,6.248226165771484,170478000,0.016137,35.57,4.6421,-0.14,92214.0
2020-03-11,16.700000762939453,17.1299991607666,15.0,15.850000381469727,5.639771461486816,132482400,0.016137,34.45,4.8138,-0.14,85171.0
2020-03-12,13.65999984741211,13.859999656677246,11.079999923706055,12.600000381469727,4.483352184295654,151535900,0.016137,31.02,4.7902,-0.14,72583.0
2020-03-13,15.100000381469727,15.399999618530273,12.699999809265137,15.399999618530273,5.479651927947998,174972600,0.016137,32.25,4.7902,-0.14,82678.0
2020-03-16,12.90999984741211,14.100000381469727,12.550000190734863,13.09000015258789,4.6577043533325195,126432800,0.016137,27.98,4.999,-0.14,71168.0
2020-03-17,13.600000381469727,13.84000015258789,13.0,13.0,4.625679969787598,149228500,0.016137,27.97,5.0097,-0.14,74617.0
2020-03-18,11.789999961853027,12.270000457763672,10.869999885559082,11.289999961853027,4.0172247886657715,162515200,0.016137,22.79,5.10396,-0.14,66895.0
2020-03-19,11.069999694824219,13.069999694824219,10.850000381469727,12.210000038146973,4.34458065032959,157065200,0.014227,23.98,5.0942,-0.14,68332.0
2020-03-20,13.109999656677246,13.5,11.829999923706055,12.0,4.269858360290527,149029900,0.014227,25.55,5.0942,-0.14,67069.0
2020-03-23,12.109999656677246,12.180000305175781,11.279999732971191,11.5,4.09194803237915,107092400,0.014227,23.75,5.1417,-0.14,63570.0
2020-03-24,12.569999694824219,13.539999961853027,12.279999732971191,13.25,4.714634418487549,114259200,0.014227,24.5,5.0981,-0.14,69729.0
2020-03-25,13.239999771118164,14.789999961853027,12.829999923706055,14.319999694824219,5.095363616943359,158286200,0.014227,25.62,5.0337,-0.14,74956.0
2020-03-26,14.399999618530273,15.1899995803833,13.8100004196167,14.390000343322754,5.120271682739258,130618400,0.014227,23.55,5.0226,-0.14,77710.0
2020-03-27,13.300000190734863,13.6899995803833,13.25,13.300000190734863,4.732426166534424,101405900,0.014227,22.39,5.0226,-0.14,73429.0
2020-03-30,13.149999618530273,13.739999771118164,12.829999923706055,13.380000114440918,4.760891914367676,110947200,0.014227,19.19,5.1927,-0.14,74640.0
2020-03-31,13.600000381469727,14.539999961853027,13.600000381469727,13.989999771118164,4.977942943572998,156116500,0.014227,14.85,5.2035,-0.14,73020.0
2020-04-01,13.449999809265137,14.550000190734863,13.319999694824219,14.300000190734863,5.088248252868652,114455000,0.014227,14.97,5.2482,0.25,70967.0
2020-04-02,15.399999618530273,16.549999237060547,15.010000228881836,15.510000228881836,5.51879358291626,234951200,0.014227,20.24,5.2553,0.25,72253.0
