,Activation,Epoch,RMSE
0,relu,1,398.7596130371094
1,tanh,1,1.5758569240570068
2,sigmoid,1,1.3307957649230957
3,capped,1,2.326354503631592
4,quadratic,1,3.9722797870635986
5,exponential,1,7.013874530792236
6,relu,2,21.27971076965332
7,tanh,2,1.335652232170105
8,sigmoid,2,5.021432876586914
9,capped,2,1.334446668624878
10,quadratic,2,1.343568205833435
11,exponential,2,1.4922130107879639
12,relu,3,11.748186111450195
13,tanh,3,1.3328661918640137
14,sigmoid,3,1.3329559564590454
15,capped,3,1.3318384885787964
16,quadratic,3,
17,exponential,3,1.3906291723251343
18,relu,4,1.9460443258285522
19,tanh,4,1.336027979850769
20,sigmoid,4,1.3340598344802856
21,capped,4,1.958322286605835
22,quadratic,4,1.5385175943374634
23,exponential,4,1.3767430782318115
24,relu,5,1.5348320007324219
25,tanh,5,1.3516606092453003
26,sigmoid,5,1.3322876691818237
27,capped,5,1.32709538936615
28,quadratic,5,1.3373979330062866
29,exponential,5,1.3591190576553345
30,relu,6,1.8620274066925049
31,tanh,6,1.3438142538070679
32,sigmoid,6,1.3336331844329834
33,capped,6,1.3327043056488037
34,quadratic,6,1.487201452255249
35,exponential,6,1.372387409210205
36,relu,7,46.80574417114258
37,tanh,7,1.3369324207305908
38,sigmoid,7,1.3299894332885742
39,capped,7,1.333919882774353
40,quadratic,7,
41,exponential,7,1.429842472076416
42,relu,8,33.39099884033203
43,tanh,8,1.3366856575012207
44,sigmoid,8,1.332542896270752
45,capped,8,1.332202434539795
46,quadratic,8,1.4083062410354614
47,exponential,8,1.3657593727111816
48,relu,9,2.962606191635132
49,tanh,9,1.3225771188735962
50,sigmoid,9,1.3331259489059448
51,capped,9,1.3337956666946411
52,quadratic,9,1.3342690467834473
53,exponential,9,1.3368226289749146
54,relu,10,1.3277440071105957
55,tanh,10,1.3217439651489258
56,sigmoid,10,1.3336262702941895
57,capped,10,1.3463730812072754
58,quadratic,10,1.3716031312942505
59,exponential,10,1.3330436944961548
