Date,Open,High,Low,Close,Adj Close,Volume,Ticker,selic,oil_price,exchange_rate,ipca,bovespa
2020-01-02,30.510000228881836,30.700000762939453,30.309999465942383,30.700000762939453,10.923721313476562,37774500,PETR4.SA,0.017089,67.05,4.0234,,118573.0
2020-01-03,30.8799991607666,31.239999771118164,30.450000762939453,30.450000762939453,10.834765434265137,71595600,PETR4.SA,0.017089,69.08,4.0234,,117707.0
2020-01-06,30.43000030517578,30.940000534057617,29.950000762939453,30.809999465942383,10.962859153747559,81844000,PETR4.SA,0.017089,70.25,4.0604,,116878.0
2020-01-07,30.81999969482422,30.8799991607666,30.469999313354492,30.690000534057617,10.920164108276367,32822000,PETR4.SA,0.017089,68.74,4.0662,,116662.0
2020-01-08,30.690000534057617,30.770000457763672,30.239999771118164,30.5,10.852556228637695,48215600,PETR4.SA,0.017089,67.31,4.0628,,116247.0
2020-01-09,30.469999313354492,30.6200008392334,30.25,30.399999618530273,10.816974639892578,36102700,PETR4.SA,0.017089,66.58,4.0921,,115947.0
2020-01-10,30.389999389648438,30.440000534057617,30.1299991607666,30.270000457763672,10.770719528198242,25397500,PETR4.SA,0.017089,66.77,4.0921,,115503.0
2020-01-13,30.350000381469727,30.43000030517578,30.209999084472656,30.329999923706055,10.792068481445312,30676800,PETR4.SA,0.017089,64.14,4.1458,,117325.0
2020-01-14,30.229999542236328,30.270000457763672,29.770000457763672,30.0,10.674646377563477,39796500,PETR4.SA,0.017089,64.45,4.1313,,117632.0
2020-01-15,29.899999618530273,29.93000030517578,29.540000915527344,29.549999237060547,10.514524459838867,34405700,PETR4.SA,0.017089,63.29,4.1742,,116414.0
2020-01-16,29.600000381469727,29.700000762939453,29.329999923706055,29.520000457763672,10.503852844238281,28997400,PETR4.SA,0.017089,64.63,4.1836,,116704.0
2020-01-17,29.719999313354492,29.850000381469727,29.540000915527344,29.850000381469727,10.6212739944458,34908000,PETR4.SA,0.017089,64.05,4.1836,,118478.0
2020-01-20,29.700000762939453,30.100000381469727,29.649999618530273,30.0,10.674646377563477,31241400,PETR4.SA,0.017089,64.63,4.1885,,118862.0
2020-01-21,29.799999237060547,29.940000534057617,29.549999237060547,29.6200008392334,10.539435386657715,28577400,PETR4.SA,0.017089,63.66,4.2109,,117026.0
2020-01-22,29.729999542236328,29.809999465942383,29.270000457763672,29.290000915527344,10.422015190124512,32491500,PETR4.SA,0.017089,62.11,4.1813,,118391.0
2020-01-23,29.09000015258789,29.760000228881836,28.81999969482422,29.649999618530273,10.550106048583984,53752100,PETR4.SA,0.017089,61.26,4.1691,,119528.0
2020-01-24,29.559999465942383,29.780000686645508,29.139999389648438,29.299999237060547,10.42557144165039,36898700,PETR4.SA,0.017089,59.34,4.1691,,118376.0
2020-01-27,28.6299991607666,28.639999389648438,27.670000076293945,28.030000686645508,9.973677635192871,66105300,PETR4.SA,0.017089,58.54,4.2061,,114482.0
2020-01-28,28.43000030517578,29.139999389648438,28.420000076293945,28.799999237060547,10.247657775878906,47259100,PETR4.SA,0.017089,59.37,4.1934,,116479.0
2020-01-29,29.0,29.079999923706055,28.670000076293945,28.850000381469727,10.265451431274414,42297500,PETR4.SA,0.017089,59.46,4.2289,,115385.0
2020-01-30,28.280000686645508,29.040000915527344,28.18000030517578,28.940000534057617,10.297475814819336,44266800,PETR4.SA,0.017089,57.72,4.2422,,115528.0
2020-01-31,28.6299991607666,28.84000015258789,28.309999465942383,28.450000762939453,10.123124122619629,55446700,PETR4.SA,0.017089,57.77,4.2422,,113761.0
2020-02-03,28.520000457763672,28.729999542236328,28.15999984741211,28.18000030517578,10.02705192565918,39452800,PETR4.SA,0.017089,54.0,4.2468,,114629.0
2020-02-04,28.649999618530273,29.040000915527344,28.559999465942383,28.6299991607666,10.187170028686523,57658400,PETR4.SA,0.017089,53.9,4.2537,,115557.0
2020-02-05,29.049999237060547,29.219999313354492,28.389999389648438,28.389999389648438,10.101773262023926,67994500,PETR4.SA,0.017089,55.36,4.2336,,116028.0
2020-02-06,28.700000762939453,29.510000228881836,28.1200008392334,29.18000030517578,10.382872581481934,126114000,PETR4.SA,0.016137,55.18,4.2808,,115190.0
2020-02-07,29.0,29.350000381469727,28.729999542236328,28.93000030517578,10.293917655944824,54514600,PETR4.SA,0.016137,54.53,4.2808,,113770.0
2020-02-10,28.889999389648438,29.1299991607666,28.639999389648438,29.1299991607666,10.365081787109375,45328100,PETR4.SA,0.016137,53.39,4.32097,,112570.0
2020-02-11,29.399999618530273,29.6299991607666,29.260000228881836,29.479999542236328,10.489619255065918,37518200,PETR4.SA,0.016137,54.0,4.32753,,115371.0
2020-02-12,29.639999389648438,30.280000686645508,29.6299991607666,30.1299991607666,10.720902442932129,64851000,PETR4.SA,0.016137,55.54,4.3545,,116674.0
2020-02-13,29.770000457763672,30.209999084472656,29.639999389648438,29.719999313354492,10.575016021728516,55277100,PETR4.SA,0.016137,56.34,4.34677,,115662.0
2020-02-14,29.860000610351562,29.959999084472656,29.34000015258789,29.420000076293945,10.468270301818848,30399900,PETR4.SA,0.016137,57.37,4.34677,,114381.0
2020-02-17,29.6299991607666,29.770000457763672,29.309999465942383,29.360000610351562,10.446920394897461,38684900,PETR4.SA,0.016137,57.83,4.3265,,115309.0
2020-02-18,29.059999465942383,29.770000457763672,28.950000762939453,29.75,10.585691452026367,33890900,PETR4.SA,0.016137,57.35,4.3548,,114977.0
2020-02-19,29.8700008392334,30.549999237060547,29.760000228881836,30.549999237060547,10.870348930358887,44181800,PETR4.SA,0.016137,59.72,4.364,,116518.0
2020-02-20,30.799999237060547,30.889999389648438,29.75,29.920000076293945,10.646180152893066,73522900,PETR4.SA,0.016137,59.57,4.3923,,114586.0
2020-02-21,29.510000228881836,29.68000030517578,29.030000686645508,29.139999389648438,10.368638038635254,47805100,PETR4.SA,0.016137,58.6,4.3923,,113681.0
2020-02-26,27.040000915527344,27.389999389648438,26.030000686645508,26.209999084472656,9.326082229614258,89207100,PETR4.SA,0.016137,54.96,4.4491,,105718.0
